Date,Open,High,Low,Close,Volume,Quote_Volume,Trades_Count,div,Log_VolumeGain,pricegain
2020-04-22 07:11:00,0.2929,0.2929,0.2929,0.2929,0.0,0.0,0,1.0,-inf,0.17099863201095467
2020-04-22 07:12:00,0.2929,0.2929,0.2929,0.2929,0.0,0.0,0,1.0,0.0,0.0
2020-04-22 07:13:00,0.2929,0.2929,0.2929,0.2929,0.0,0.0,0,1.0,0.0,0.0
2020-04-22 07:14:00,0.2929,0.2929,0.2929,0.2929,0.0,0.0,0,1.0,0.0,0.0
2020-04-22 07:15:00,0.2929,0.2929,0.2929,0.2929,0.0,0.0,0,1.0,0.0,0.0
2020-04-22 07:16:00,0.2928,0.2928,0.2928,0.2928,13.0,4.0,1,1.0,inf,-0.03414134516899203
2020-04-22 07:17:00,0.2928,0.2928,0.2928,0.2928,0.0,0.0,0,1.0,-inf,0.0
2020-04-22 07:18:00,0.2916,0.2916,0.2916,0.2916,527.0,154.0,1,1.0,inf,-0.4098360655737654
2020-04-22 07:19:00,0.2916,0.2916,0.2916,0.2916,0.0,0.0,0,1.0,-inf,0.0
2020-04-22 07:20:00,0.2916,0.2916,0.2916,0.2916,0.0,0.0,0,1.0,0.0,0.0
